,State,Crop,Season,District ,Area ,Production,Yield,Profit,Rainfall
208,andhra pradesh,bajra,rabi       ,nalgonda,21.83333333,6.666666667,0.466666667,nan,nan
209,andhra pradesh,bajra,rabi       ,nizamabad,6290.533333,3787.0,0.642666667,nan,nan
210,andhra pradesh,bajra,rabi       ,prakasam,547.9047619,882.0952381,1.561428571,nan,nan
211,andhra pradesh,bajra,rabi       ,rangareddi,15.4,10.25,0.512,nan,nan
212,andhra pradesh,bajra,rabi       ,spsr nellore,41.35294118,101.0,2.395882353,nan,nan
213,andhra pradesh,bajra,rabi       ,visakhapatanam,2.0,nan,0.0,nan,nan
214,andhra pradesh,bajra,rabi       ,vizianagaram,4.0,4.0,1.0,nan,nan
215,andhra pradesh,bajra,rabi       ,warangal,465.8,241.0,0.652,nan,nan
216,andhra pradesh,banana,whole year ,adilabad,101.625,1948.75,21.63875,nan,nan
217,andhra pradesh,banana,whole year ,anantapur,4943.166667,333434.0,55.81111111,nan,nan
218,andhra pradesh,banana,whole year ,chittoor,856.5,54072.77778,68.00666667,nan,nan
219,andhra pradesh,banana,whole year ,east godavari,12924.11111,343357.1667,25.99111111,nan,nan
220,andhra pradesh,banana,whole year ,guntur,5460.444444,184146.8333,37.125,nan,nan
221,andhra pradesh,banana,whole year ,kadapa,7405.166667,538967.0556,67.79333333,nan,nan
222,andhra pradesh,banana,whole year ,karimnagar,12.0,399.0,15.735,nan,nan
223,andhra pradesh,banana,whole year ,khammam,772.9090909,20835.2,23.39,nan,nan
224,andhra pradesh,banana,whole year ,krishna,1614.111111,80773.44444,50.63555556,nan,nan
225,andhra pradesh,banana,whole year ,kurnool,2153.222222,84195.33333,37.14166667,nan,nan
226,andhra pradesh,banana,whole year ,mahbubnagar,8.5,128.0,12.8,nan,nan
227,andhra pradesh,banana,whole year ,medak,392.0909091,9746.454545,23.29272727,nan,nan
228,andhra pradesh,banana,whole year ,nalgonda,4.5,107.4285714,23.39375,nan,nan
229,andhra pradesh,banana,whole year ,nizamabad,266.5454545,5249.818182,22.65545455,nan,nan
230,andhra pradesh,banana,whole year ,prakasam,368.9444444,10576.5,29.51277778,nan,nan
231,andhra pradesh,banana,whole year ,rangareddi,119.1818182,2690.363636,24.78454545,nan,nan
232,andhra pradesh,banana,whole year ,spsr nellore,747.7222222,26797.94444,35.11055556,nan,nan
233,andhra pradesh,banana,whole year ,srikakulam,1661.833333,55467.0,31.42444444,nan,nan
234,andhra pradesh,banana,whole year ,visakhapatanam,1503.388889,39015.72222,28.46277778,nan,nan
235,andhra pradesh,banana,whole year ,vizianagaram,6495.388889,161273.5556,25.13666667,nan,nan
236,andhra pradesh,banana,whole year ,warangal,244.4545455,5659.909091,24.73909091,nan,nan
237,andhra pradesh,banana,whole year ,west godavari,8111.0,291260.5,34.24555556,nan,nan
238,andhra pradesh,black pepper,kharif     ,east godavari,4.0,3.0,0.75,nan,nan
239,andhra pradesh,black pepper,whole year ,anantapur,5.0,5.0,1.0,nan,nan
240,andhra pradesh,black pepper,whole year ,visakhapatanam,17215.0,17215.0,1.0,nan,nan
241,andhra pradesh,black pepper,whole year ,west godavari,425.0,425.0,1.0,nan,nan
242,andhra pradesh,cashewnut,kharif     ,anantapur,26.28571429,11.0,0.355714286,nan,nan
243,andhra pradesh,cashewnut,kharif     ,chittoor,81.375,62.625,0.7925,nan,nan
244,andhra pradesh,cashewnut,kharif     ,east godavari,30298.5,16655.125,0.5475,nan,nan
245,andhra pradesh,cashewnut,kharif     ,guntur,137.7142857,54.28571429,0.407142857,nan,nan
246,andhra pradesh,cashewnut,kharif     ,kadapa,6.714285714,2.4,0.261428571,nan,nan
247,andhra pradesh,cashewnut,kharif     ,krishna,104.625,65.25,0.71,nan,nan
248,andhra pradesh,cashewnut,kharif     ,prakasam,770.5,605.125,1.95,nan,nan
249,andhra pradesh,cashewnut,kharif     ,spsr nellore,207.75,188.5,1.1925,nan,nan
250,andhra pradesh,cashewnut,kharif     ,srikakulam,23709.0,14799.625,0.61125,nan,nan
251,andhra pradesh,cashewnut,kharif     ,visakhapatanam,30770.625,15319.375,0.49375,nan,nan
252,andhra pradesh,cashewnut,kharif     ,vizianagaram,13574.0,5652.375,0.45625,nan,nan
253,andhra pradesh,cashewnut,kharif     ,west godavari,15476.5,9610.875,0.655,nan,nan
254,andhra pradesh,cashewnut,whole year ,adilabad,40.22222222,11.33333333,0.292222222,nan,nan
255,andhra pradesh,cashewnut,whole year ,chittoor,110.5454545,26.81818182,0.244545455,nan,nan
256,andhra pradesh,cashewnut,whole year ,east godavari,33607.0,5368.0,0.161818182,nan,nan
257,andhra pradesh,cashewnut,whole year ,guntur,151.8181818,37.63636364,0.246363636,nan,nan
258,andhra pradesh,cashewnut,whole year ,kadapa,6.545454545,1.818181818,0.28,nan,nan
